Title,ReleaseYear,Country,Language,BoxOfficeUSD
Wings,1927,USA,Silent,
The Broadway Melody,1929,USA,English,
All Quiet on the Western Front,1930,USA,English,3270000
Cimarron,1931,USA,English,
Grand Hotel,1932,USA,English,8000000
It Happened One Night,1934,USA,English,4500000
Mutiny on the Bounty,1935,USA,English,4600000
The Great Ziegfeld,1936,USA,English,7700000
You Can't Take It with You,1938,USA,English,
Gone with the Wind,1939,USA,English,390000000
Rebecca,1940,USA,English,
Casablanca,1942,USA,English,10400000
The Best Years of Our Lives,1946,USA,English,23600000
All About Eve,1950,USA,English,
Ben-Hur,1959,USA,English,146000000
West Side Story,1961,USA,English,43700000
The Sound of Music,1965,USA,English,286000000
Midnight Cowboy,1969,USA,English,44700000
The Godfather,1972,USA,English,246000000
Rocky,1976,USA,English,225000000
Ordinary People,1980,USA,English,
Amadeus,1984,USA,English,52000000
Rain Man,1988,USA,English,354000000
The Silence of the Lambs,1991,USA,English,272000000
Forrest Gump,1994,USA,English,678000000
Titanic,1997,USA,English,2264000000
Gladiator,2000,USA,English,465000000
The Lord of the Rings: The Return of the King,2003,New Zealand,English,1142000000
No Country for Old Men,2007,USA,English,171000000
The Hurt Locker,2009,USA,English,49000000
Parasite,2019,South Korea,Korean,258000000
Everything Everywhere All at Once,2022,USA,English,140000000
